procedure_full,proc,start_time,start_dt,source_file,Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Start time,file_idx,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step,Sensor model
laser_setup.procedures.It.It,It,1757095167.016689,2025-09-05T13:59:27.016689,It2025-09-05_17.csv,0.001 A,1,,Alisson,71,455 -  biotite,2 V,455,2.2.0,other,,0.1 V,,,,1757095167.016689,17,120 s,0 C,120 s,0 s,25 C,5 V,,,,,,
laser_setup.procedures.It.It,It,1757095355.4330423,2025-09-05T14:02:35.433042,It2025-09-05_18.csv,0.001 A,1,,Alisson,71,455 -  biotite,3 V,455,2.2.0,other,,0.1 V,,,,1757095355.4330423,18,120 s,0 C,120 s,0 s,25 C,5 V,,,,,,
laser_setup.procedures.It.It,It,1757095543.8151393,2025-09-05T14:05:43.815139,It2025-09-05_19.csv,0.001 A,1,,Alisson,71,455 -  biotite,4 V,455,2.2.0,other,,0.1 V,,,,1757095543.8151393,19,120 s,0 C,120 s,0 s,25 C,5 V,,,,,,
laser_setup.procedures.It.It,It,1757095732.2165942,2025-09-05T14:08:52.216594,It2025-09-05_20.csv,0.001 A,1,,Alisson,71,455 -  biotite,5 V,455,2.2.0,other,,0.1 V,,,,1757095732.2165942,20,120 s,0 C,120 s,0 s,25 C,5 V,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757096322.2670183,2025-09-05T14:18:42.267018,IVg2025-09-05_5.csv,0.001 A,1,0 s,Alisson,71,after illumination - biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757096322.2670183,5,,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757096657.8735113,2025-09-05T14:24:17.873511,IVg2025-09-05_6.csv,0.001 A,1,0 s,Alisson,71,after illumination - biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757096657.8735113,6,,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757096991.7144797,2025-09-05T14:29:51.714480,IVg2025-09-05_7.csv,0.001 A,1,0 s,Alisson,71,after illumination - biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757096991.7144797,7,,,,,,,,,,,,
laser_setup.procedures.It.It,It,1757097102.3796213,2025-09-05T14:31:42.379621,It2025-09-05_21.csv,0.001 A,1,,Alisson,71,365 -  biotite,1 V,365,2.2.0,other,,0.1 V,,,,1757097102.3796213,21,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757097290.652577,2025-09-05T14:34:50.652577,It2025-09-05_22.csv,0.001 A,1,,Alisson,71,365 -  biotite,2 V,365,2.2.0,other,,0.1 V,,,,1757097290.652577,22,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757097479.0574262,2025-09-05T14:37:59.057426,It2025-09-05_23.csv,0.001 A,1,,Alisson,71,365 -  biotite,3 V,365,2.2.0,other,,0.1 V,,,,1757097479.0574262,23,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757097667.3660626,2025-09-05T14:41:07.366063,It2025-09-05_24.csv,0.001 A,1,,Alisson,71,365 -  biotite,4 V,365,2.2.0,other,,0.1 V,,,,1757097667.3660626,24,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757097856.5340202,2025-09-05T14:44:16.534020,It2025-09-05_25.csv,0.001 A,1,,Alisson,71,365 -  biotite,5 V,365,2.2.0,other,,0.1 V,,,,1757097856.5340202,25,120 s,0 C,120 s,0 s,25 C,-5 V,,,,,,
laser_setup.procedures.It.It,It,1757098044.916885,2025-09-05T14:47:24.916885,It2025-09-05_26.csv,0.001 A,1,,Alisson,71,365 -  biotite,1 V,365,2.2.0,other,,0.1 V,,,,1757098044.916885,26,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
laser_setup.procedures.It.It,It,1757098232.2564619,2025-09-05T14:50:32.256462,It2025-09-05_27.csv,0.001 A,1,,Alisson,71,365 -  biotite,2 V,365,2.2.0,other,,0.1 V,,,,1757098232.2564619,27,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
laser_setup.procedures.It.It,It,1757098420.0619078,2025-09-05T14:53:40.061908,It2025-09-05_28.csv,0.001 A,1,,Alisson,71,365 -  biotite,3 V,365,2.2.0,other,,0.1 V,,,,1757098420.0619078,28,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
laser_setup.procedures.It.It,It,1757098607.836259,2025-09-05T14:56:47.836259,It2025-09-05_29.csv,0.001 A,1,,Alisson,71,365 -  biotite,4 V,365,2.2.0,other,,0.1 V,,,,1757098607.836259,29,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
laser_setup.procedures.It.It,It,1757098795.3130095,2025-09-05T14:59:55.313010,It2025-09-05_30.csv,0.001 A,1,,Alisson,71,365 -  biotite,5 V,365,2.2.0,other,,0.1 V,,,,1757098795.3130095,30,120 s,0 C,120 s,0 s,25 C,-3 V,,,,,,
