seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder
1,2025-09-08,12:26:20,IVg,IVg Alisson67  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/Alisson_08_sept/IVg2025-09-08_1.csv,1,1757345180.0971758,Alisson_08_sept
2,2025-10-14,15:03:53,IVg,IVg Alisson67  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #6,raw_data/2025-10-14/IVg2025-10-14_6.csv,6,1760465033.4427469,2025-10-14
3,2025-10-14,15:12:05,IVg,IVg Alisson67  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #7,raw_data/2025-10-14/IVg2025-10-14_7.csv,7,1760465525.702543,2025-10-14
4,2025-10-14,15:13:12,It,💡 It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=1.15 V  λ=455.0 nm  period=120.0 s  #10,raw_data/2025-10-14/It2025-10-14_10.csv,10,1760465592.0845056,2025-10-14
5,2025-10-14,15:16:12,It,💡 It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=2.19 V  λ=455.0 nm  period=120.0 s  #11,raw_data/2025-10-14/It2025-10-14_11.csv,11,1760465772.46143,2025-10-14
6,2025-10-14,15:19:12,It,💡 It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=3.28 V  λ=455.0 nm  period=120.0 s  #12,raw_data/2025-10-14/It2025-10-14_12.csv,12,1760465952.6346202,2025-10-14
7,2025-10-14,15:22:12,It,💡 It  Alisson67  VG=-0.35 V  VDS=0.1 V  VL=4.41 V  λ=455.0 nm  period=120.0 s  #13,raw_data/2025-10-14/It2025-10-14_13.csv,13,1760466132.8046875,2025-10-14
8,2025-10-14,16:08:35,IVg,IVg Alisson67  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #8,raw_data/2025-10-14/IVg2025-10-14_8.csv,8,1760468915.3262055,2025-10-14
9,2025-10-14,16:10:44,It,💡 It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=1.15 V  λ=455.0 nm  period=120.0 s  #14,raw_data/2025-10-14/It2025-10-14_14.csv,14,1760469044.161089,2025-10-14
10,2025-10-14,16:13:44,It,💡 It  Alisson67  VG=0.2 V  VDS=0.1 V  VL=2.29 V  λ=455.0 nm  period=120.0 s  #15,raw_data/2025-10-14/It2025-10-14_15.csv,15,1760469224.372124,2025-10-14
