seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder
1,2025-09-09,15:45:59,IV,IV  Alisson1  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #4,raw_data/Serbian_Graphene/IV2025-09-09_4.csv,4,1757443559.6312978,Serbian_Graphene
2,2025-09-09,15:52:24,IVg,IVg Alisson1  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #2,raw_data/Serbian_Graphene/IVg2025-09-09_2.csv,2,1757443944.0020893,Serbian_Graphene
3,2025-09-09,16:20:17,IV,IV  Alisson1  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #5,raw_data/Serbian_Graphene/IV2025-09-09_5.csv,5,1757445617.784208,Serbian_Graphene
4,2025-09-09,16:26:10,IV,IV  Alisson1  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #6,raw_data/Serbian_Graphene/IV2025-09-09_6.csv,6,1757445970.691204,Serbian_Graphene
5,2025-09-09,16:26:23,IV,IV  Alisson1  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #7,raw_data/Serbian_Graphene/IV2025-09-09_7.csv,7,1757445983.0571663,Serbian_Graphene
6,2025-09-09,16:26:47,IV,IV  Alisson1  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #8,raw_data/Serbian_Graphene/IV2025-09-09_8.csv,8,1757446007.8127143,Serbian_Graphene
7,2025-09-09,16:27:07,IV,IV  Alisson1  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #9,raw_data/Serbian_Graphene/IV2025-09-09_9.csv,9,1757446027.3556013,Serbian_Graphene
8,2025-09-09,16:27:20,IV,IV  Alisson1  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #10,raw_data/Serbian_Graphene/IV2025-09-09_10.csv,10,1757446040.091051,Serbian_Graphene
9,2025-09-09,16:27:43,IV,IV  Alisson1  VG=0.0 V  VSD:-2.0→2.0 (step 0.05)  #11,raw_data/Serbian_Graphene/IV2025-09-09_11.csv,11,1757446063.381521,Serbian_Graphene
10,2025-09-09,16:28:30,IV,IV  Alisson1  VG=0.0 V  VSD:-2.0→2.0 (step 0.05)  #12,raw_data/Serbian_Graphene/IV2025-09-09_12.csv,12,1757446110.4034371,Serbian_Graphene
11,2025-09-09,16:29:10,IV,IV  Alisson1  VG=0.0 V  VSD:-2.0→2.0 (step 0.05)  #13,raw_data/Serbian_Graphene/IV2025-09-09_13.csv,13,1757446150.6100307,Serbian_Graphene
