seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder,has_light
1,2025-09-04,17:50:25,IV,IV  Alisson71  VG=0.0 V  VSD:-0.1→0.1 (step 0.01)  #2,raw_data/Alisson_04_sept/IV2025-09-04_2.csv,2,1757022625.4999702,Alisson_04_sept,false
2,2025-09-04,17:56:23,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.2)  #13,raw_data/Alisson_04_sept/IVg2025-09-04_13.csv,13,1757022983.300868,Alisson_04_sept,false
3,2025-09-04,17:56:44,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.2)  #14,raw_data/Alisson_04_sept/IVg2025-09-04_14.csv,14,1757023004.2214,Alisson_04_sept,false
4,2025-09-04,17:57:03,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #18,raw_data/Alisson_04_sept/IVg2025-09-04_18.csv,18,1757023023.9342706,Alisson_04_sept,false
5,2025-09-04,17:58:40,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #19,raw_data/Alisson_04_sept/IVg2025-09-04_19.csv,19,1757023120.3582766,Alisson_04_sept,false
6,2025-09-04,18:04:05,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #20,raw_data/Alisson_04_sept/IVg2025-09-04_20.csv,20,1757023445.1967309,Alisson_04_sept,true
7,2025-09-04,18:07:33,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #21,raw_data/Alisson_04_sept/IVg2025-09-04_21.csv,21,1757023653.6029837,Alisson_04_sept,false
8,2025-09-04,18:09:17,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #22,raw_data/Alisson_04_sept/IVg2025-09-04_22.csv,22,1757023757.505903,Alisson_04_sept,false
9,2025-09-04,18:11:07,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #23,raw_data/Alisson_04_sept/IVg2025-09-04_23.csv,23,1757023867.71319,Alisson_04_sept,false
10,2025-09-04,18:12:11,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #24,raw_data/Alisson_04_sept/IVg2025-09-04_24.csv,24,1757023931.882567,Alisson_04_sept,true
11,2025-09-04,18:16:45,It,💡 It  Alisson71  VG=-1.0 V  VDS=0.1 V  VL=0.2 V  λ=455.0 nm  period=120.0 s  #2,raw_data/Alisson_04_sept/It2025-09-04_2.csv,2,1757024205.5707214,Alisson_04_sept,true
12,2025-09-04,18:20:29,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #25,raw_data/Alisson_04_sept/IVg2025-09-04_25.csv,25,1757024429.6765618,Alisson_04_sept,false
13,2025-09-04,18:23:51,It,💡 It  Alisson71  VG=-2.0 V  VDS=0.1 V  VL=0.2 V  λ=455.0 nm  period=120.0 s  #3,raw_data/Alisson_04_sept/It2025-09-04_3.csv,3,1757024631.9254837,Alisson_04_sept,true
14,2025-09-04,18:26:59,It,💡 It  Alisson71  VG=-2.0 V  VDS=0.1 V  VL=1.0 V  λ=455.0 nm  period=120.0 s  #4,raw_data/Alisson_04_sept/It2025-09-04_4.csv,4,1757024819.2769458,Alisson_04_sept,true
15,2025-09-04,18:30:06,It,💡 It  Alisson71  VG=-2.0 V  VDS=0.1 V  VL=2.0 V  λ=455.0 nm  period=120.0 s  #5,raw_data/Alisson_04_sept/It2025-09-04_5.csv,5,1757025006.6806135,Alisson_04_sept,true
16,2025-09-04,18:33:13,It,💡 It  Alisson71  VG=-2.0 V  VDS=0.1 V  VL=3.0 V  λ=455.0 nm  period=120.0 s  #6,raw_data/Alisson_04_sept/It2025-09-04_6.csv,6,1757025193.2839594,Alisson_04_sept,true
17,2025-09-04,18:36:20,It,💡 It  Alisson71  VG=-2.0 V  VDS=0.1 V  VL=4.0 V  λ=455.0 nm  period=120.0 s  #7,raw_data/Alisson_04_sept/It2025-09-04_7.csv,7,1757025380.0006182,Alisson_04_sept,true
18,2025-09-04,18:42:07,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #26,raw_data/Alisson_04_sept/IVg2025-09-04_26.csv,26,1757025727.3337955,Alisson_04_sept,false
19,2025-09-04,18:43:03,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #27,raw_data/Alisson_04_sept/IVg2025-09-04_27.csv,27,1757025783.7678306,Alisson_04_sept,false
20,2025-09-04,18:43:59,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #28,raw_data/Alisson_04_sept/IVg2025-09-04_28.csv,28,1757025839.928276,Alisson_04_sept,false
21,2025-09-04,18:45:05,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #29,raw_data/Alisson_04_sept/IVg2025-09-04_29.csv,29,1757025905.2842913,Alisson_04_sept,false
22,2025-09-04,18:46:01,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #30,raw_data/Alisson_04_sept/IVg2025-09-04_30.csv,30,1757025961.6322925,Alisson_04_sept,false
23,2025-09-04,18:46:57,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #31,raw_data/Alisson_04_sept/IVg2025-09-04_31.csv,31,1757026017.7744179,Alisson_04_sept,false
24,2025-09-04,18:50:21,It,💡 It  Alisson71  VG=1.0 V  VDS=0.1 V  VL=2.0 V  λ=455.0 nm  period=120.0 s  #8,raw_data/Alisson_04_sept/It2025-09-04_8.csv,8,1757026221.9717975,Alisson_04_sept,true
25,2025-09-04,18:53:28,It,💡 It  Alisson71  VG=1.0 V  VDS=0.1 V  VL=4.0 V  λ=455.0 nm  period=120.0 s  #9,raw_data/Alisson_04_sept/It2025-09-04_9.csv,9,1757026408.0077765,Alisson_04_sept,true
26,2025-09-04,18:56:33,It,💡 It  Alisson71  VG=-2.0 V  VDS=0.1 V  VL=4.0 V  λ=455.0 nm  period=120.0 s  #10,raw_data/Alisson_04_sept/It2025-09-04_10.csv,10,1757026593.8072443,Alisson_04_sept,true
27,2025-09-04,18:59:40,It,💡 It  Alisson71  VG=-4.0 V  VDS=0.1 V  VL=4.0 V  λ=455.0 nm  period=120.0 s  #11,raw_data/Alisson_04_sept/It2025-09-04_11.csv,11,1757026780.3582883,Alisson_04_sept,true
28,2025-09-04,19:03:05,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #32,raw_data/Alisson_04_sept/IVg2025-09-04_32.csv,32,1757026985.5623326,Alisson_04_sept,false
29,2025-09-04,19:06:39,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #33,raw_data/Alisson_04_sept/IVg2025-09-04_33.csv,33,1757027199.1657188,Alisson_04_sept,false
30,2025-09-05,12:53:07,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/Alisson_05_sept/IVg2025-09-05_1.csv,1,1757091187.6061382,Alisson_05_sept,false
31,2025-09-05,12:55:05,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,raw_data/Alisson_05_sept/IVg2025-09-05_2.csv,2,1757091305.8255506,Alisson_05_sept,false
32,2025-09-05,12:57:58,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,raw_data/Alisson_05_sept/IVg2025-09-05_3.csv,3,1757091478.5485325,Alisson_05_sept,false
33,2025-09-05,13:05:46,IVg,IVg Alisson71  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,raw_data/Alisson_05_sept/IVg2025-09-05_4.csv,4,1757091946.0995927,Alisson_05_sept,false
34,2025-09-05,13:09:24,It,💡 It  Alisson71  VG=-5.0 V  VDS=0.1 V  VL=1.0 V  λ=455.0 nm  period=120.0 s  #1,raw_data/Alisson_05_sept/It2025-09-05_1.csv,1,1757092164.0184526,Alisson_05_sept,true
