seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder,has_light
26,2025-09-25,14:33:08,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #11,raw_data/Alisson_25_sept/IVg2025-09-25_11.csv,11,1758821588.9200451,Alisson_25_sept,false
27,2025-09-25,14:39:09,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #12,raw_data/Alisson_25_sept/IVg2025-09-25_12.csv,12,1758821949.8875024,Alisson_25_sept,false
28,2025-09-25,14:45:10,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #13,raw_data/Alisson_25_sept/IVg2025-09-25_13.csv,13,1758822310.872483,Alisson_25_sept,false
29,2025-09-25,14:51:11,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #14,raw_data/Alisson_25_sept/IVg2025-09-25_14.csv,14,1758822671.5878427,Alisson_25_sept,false
30,2025-09-25,14:57:12,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #15,raw_data/Alisson_25_sept/IVg2025-09-25_15.csv,15,1758823032.4767876,Alisson_25_sept,false
31,2025-09-25,15:18:50,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #16,raw_data/Alisson_25_sept/IVg2025-09-25_16.csv,16,1758824330.8400536,Alisson_25_sept,false
32,2025-09-25,15:23:00,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #17,raw_data/Alisson_25_sept/IVg2025-09-25_17.csv,17,1758824580.8441553,Alisson_25_sept,false
33,2025-09-25,15:26:38,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #18,raw_data/Alisson_25_sept/IVg2025-09-25_18.csv,18,1758824798.9321656,Alisson_25_sept,false
34,2025-09-25,15:27:42,It,💡 It  Alisson81  VG=-1.0 V  VDS=0.1 V  VL=2.22 V  λ=385.0 nm  period=120.0 s  #15,raw_data/Alisson_25_sept/It2025-09-25_15.csv,15,1758824862.1369112,Alisson_25_sept,true
35,2025-09-25,15:36:16,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #19,raw_data/Alisson_25_sept/IVg2025-09-25_19.csv,19,1758825376.5650008,Alisson_25_sept,false
36,2025-09-25,15:37:21,It,💡 It  Alisson81  VG=-1.0 V  VDS=0.1 V  VL=4.78 V  λ=365.0 nm  period=120.0 s  #16,raw_data/Alisson_25_sept/It2025-09-25_16.csv,16,1758825441.2961516,Alisson_25_sept,true
37,2025-09-25,15:43:24,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #20,raw_data/Alisson_25_sept/IVg2025-09-25_20.csv,20,1758825804.5872686,Alisson_25_sept,false
38,2025-10-10,13:31:35,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,raw_data/2025-10-10/IVg2025-10-10_3.csv,3,1760113895.6993349,2025-10-10,false
39,2025-10-21,16:48:37,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,raw_data/2025-10-21/IVg2025-10-21_4.csv,4,1761076117.883448,2025-10-21,false
40,2025-10-21,17:03:49,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #5,raw_data/2025-10-21/IVg2025-10-21_5.csv,5,1761077029.4431612,2025-10-21,false
41,2025-10-21,17:09:26,It,💡 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=1.25 V  λ=455.0 nm  period=120.0 s  #4,raw_data/2025-10-21/It2025-10-21_4.csv,4,1761077366.9049156,2025-10-21,true
42,2025-10-21,17:12:27,It,💡 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=2.39 V  λ=455.0 nm  period=120.0 s  #5,raw_data/2025-10-21/It2025-10-21_5.csv,5,1761077547.2335052,2025-10-21,true
43,2025-10-21,17:15:27,It,💡 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=3.59 V  λ=455.0 nm  period=120.0 s  #6,raw_data/2025-10-21/It2025-10-21_6.csv,6,1761077727.3889132,2025-10-21,true
44,2025-10-21,17:18:27,It,💡 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=4.83 V  λ=455.0 nm  period=120.0 s  #7,raw_data/2025-10-21/It2025-10-21_7.csv,7,1761077907.5466573,2025-10-21,true
45,2025-10-21,17:30:14,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #6,raw_data/2025-10-21/IVg2025-10-21_6.csv,6,1761078614.032633,2025-10-21,false
46,2025-10-21,17:34:31,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #7,raw_data/2025-10-21/IVg2025-10-21_7.csv,7,1761078871.7614777,2025-10-21,false
47,2025-10-21,17:40:24,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #8,raw_data/2025-10-21/IVg2025-10-21_8.csv,8,1761079224.575237,2025-10-21,false
48,2025-10-21,17:43:51,It,🌙 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=27000.0 s  #8,raw_data/2025-10-21/It2025-10-21_8.csv,8,1761079431.2234757,2025-10-21,false
49,2025-10-22,09:19:44,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/2025-10-22/IVg2025-10-22_1.csv,1,1761135584.9948347,2025-10-22,false
50,2025-10-22,09:32:26,It,🌙 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=27000.0 s  #1,raw_data/2025-10-22/It2025-10-22_1.csv,1,1761136346.8089535,2025-10-22,false
51,2025-10-22,20:47:31,It,🌙 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #2,raw_data/2025-10-22/It2025-10-22_2.csv,2,1761176851.8935652,2025-10-22,false
52,2025-10-22,22:40:05,It,🌙 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #3,raw_data/2025-10-22/It2025-10-22_3.csv,3,1761183605.7708776,2025-10-22,false
53,2025-10-23,00:32:39,It,🌙 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #4,raw_data/2025-10-22/It2025-10-22_4.csv,4,1761190359.6439593,2025-10-22,false
54,2025-10-23,02:25:13,It,🌙 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #5,raw_data/2025-10-22/It2025-10-22_5.csv,5,1761197113.568124,2025-10-22,false
55,2025-10-23,04:17:47,It,🌙 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #6,raw_data/2025-10-22/It2025-10-22_6.csv,6,1761203867.5691607,2025-10-22,false
56,2025-10-23,06:10:21,It,🌙 It  Alisson81  VG=-0.3 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #7,raw_data/2025-10-22/It2025-10-22_7.csv,7,1761210621.5046153,2025-10-22,false
57,2025-10-23,10:57:00,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/2025-10-23/IVg2025-10-23_1.csv,1,1761227820.3577101,2025-10-23,false
58,2025-10-23,11:11:28,It,🌙 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #1,raw_data/2025-10-23/It2025-10-23_1.csv,1,1761228688.6023548,2025-10-23,false
59,2025-10-23,13:04:02,It,💡 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=1.25 V  λ=455.0 nm  period=480.0 s  #2,raw_data/2025-10-23/It2025-10-23_2.csv,2,1761235442.9594305,2025-10-23,true
60,2025-10-23,13:16:06,It,🌙 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #3,raw_data/2025-10-23/It2025-10-23_3.csv,3,1761236166.9879744,2025-10-23,false
61,2025-10-23,15:08:41,It,💡 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=1.25 V  λ=455.0 nm  period=480.0 s  #4,raw_data/2025-10-23/It2025-10-23_4.csv,4,1761242921.3217363,2025-10-23,true
62,2025-10-23,15:20:45,It,🌙 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #5,raw_data/2025-10-23/It2025-10-23_5.csv,5,1761243645.3664584,2025-10-23,false
63,2025-10-23,17:21:08,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,raw_data/2025-10-23/IVg2025-10-23_2.csv,2,1761250868.1294336,2025-10-23,false
64,2025-10-23,17:22:12,It,💡 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=1.25 V  λ=455.0 nm  period=480.0 s  #6,raw_data/2025-10-23/It2025-10-23_6.csv,6,1761250932.7906919,2025-10-23,true
65,2025-10-23,17:35:07,It,🌙 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #7,raw_data/2025-10-23/It2025-10-23_7.csv,7,1761251707.4762187,2025-10-23,false
66,2025-10-23,19:27:41,It,💡 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=1.25 V  λ=455.0 nm  period=480.0 s  #8,raw_data/2025-10-23/It2025-10-23_8.csv,8,1761258461.711411,2025-10-23,true
67,2025-10-23,19:39:45,It,🌙 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #9,raw_data/2025-10-23/It2025-10-23_9.csv,9,1761259185.7333524,2025-10-23,false
68,2025-10-23,21:37:40,IVg,IVg Alisson81  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,raw_data/2025-10-23/IVg2025-10-23_3.csv,3,1761266260.3290186,2025-10-23,false
69,2025-10-23,21:38:56,It,💡 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=1.25 V  λ=455.0 nm  period=480.0 s  #10,raw_data/2025-10-23/It2025-10-23_10.csv,10,1761266336.0294209,2025-10-23,true
70,2025-10-23,21:51:00,It,🌙 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #11,raw_data/2025-10-23/It2025-10-23_11.csv,11,1761267060.0659132,2025-10-23,false
71,2025-10-23,23:43:34,It,💡 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=1.25 V  λ=455.0 nm  period=480.0 s  #12,raw_data/2025-10-23/It2025-10-23_12.csv,12,1761273814.3324823,2025-10-23,true
72,2025-10-23,23:55:38,It,🌙 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=4500.0 s  #13,raw_data/2025-10-23/It2025-10-23_13.csv,13,1761274538.323195,2025-10-23,false
73,2025-10-24,01:48:12,It,💡 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=1.25 V  λ=455.0 nm  period=480.0 s  #14,raw_data/2025-10-23/It2025-10-23_14.csv,14,1761281292.8021827,2025-10-23,true
74,2025-10-24,02:00:16,It,🌙 It  Alisson81  VG=-0.7 V  VDS=0.1 V  VL=0.0 V  λ=455.0 nm  period=27000.0 s  #15,raw_data/2025-10-23/It2025-10-23_15.csv,15,1761282016.8430824,2025-10-23,false
