seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder
1,2025-09-09,15:41:26,IVg,IVg Alisson2  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #1,raw_data/Serbian_Graphene/IVg2025-09-09_1.csv,1,1757443286.6840177,Serbian_Graphene
2,2025-09-09,15:42:31,IV,IV  Alisson2  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #1,raw_data/Serbian_Graphene/IV2025-09-09_1.csv,1,1757443351.3880434,Serbian_Graphene
3,2025-09-09,15:42:44,IV,IV  Alisson2  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #2,raw_data/Serbian_Graphene/IV2025-09-09_2.csv,2,1757443364.6924756,Serbian_Graphene
4,2025-09-09,15:42:56,IV,IV  Alisson2  VG=0.0 V  VSD:-1.0→1.0 (step 0.05)  #3,raw_data/Serbian_Graphene/IV2025-09-09_3.csv,3,1757443376.8070998,Serbian_Graphene
5,2025-09-09,15:57:46,IVg,IVg Alisson2  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #3,raw_data/Serbian_Graphene/IVg2025-09-09_3.csv,3,1757444266.8525362,Serbian_Graphene
6,2025-09-09,16:00:09,IVg,IVg Alisson2  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #4,raw_data/Serbian_Graphene/IVg2025-09-09_4.csv,4,1757444409.6882641,Serbian_Graphene
7,2025-09-09,16:01:56,IVg,IVg Alisson2  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #5,raw_data/Serbian_Graphene/IVg2025-09-09_5.csv,5,1757444516.8890977,Serbian_Graphene
8,2025-09-09,16:03:43,IVg,IVg Alisson2  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #6,raw_data/Serbian_Graphene/IVg2025-09-09_6.csv,6,1757444623.8976266,Serbian_Graphene
9,2025-09-09,16:04:02,IVg,IVg Alisson2  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #7,raw_data/Serbian_Graphene/IVg2025-09-09_7.csv,7,1757444642.2841115,Serbian_Graphene
10,2025-09-09,16:11:04,IVg,IVg Alisson2  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #8,raw_data/Serbian_Graphene/IVg2025-09-09_8.csv,8,1757445064.6374614,Serbian_Graphene
11,2025-09-09,16:12:05,IVg,IVg Alisson2  VDS=0.075 V  VG:-10.0→10.0 (step 0.2)  #9,raw_data/Serbian_Graphene/IVg2025-09-09_9.csv,9,1757445125.307619,Serbian_Graphene
12,2025-09-09,16:13:18,IVg,IVg Alisson2  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #10,raw_data/Serbian_Graphene/IVg2025-09-09_10.csv,10,1757445198.0288212,Serbian_Graphene
13,2025-09-09,16:15:29,IVg,IVg Alisson2  VDS=0.075 V  VG:-5.0→5.0 (step 0.2)  #11,raw_data/Serbian_Graphene/IVg2025-09-09_11.csv,11,1757445329.4885848,Serbian_Graphene
14,2025-09-09,16:22:59,IVg,IVg Alisson2  VDS=0.075 V  VG:-1.0→1.0 (step 0.2)  #12,raw_data/Serbian_Graphene/IVg2025-09-09_12.csv,12,1757445779.3732922,Serbian_Graphene
15,2025-09-09,16:23:48,IVg,IVg Alisson2  VDS=0.075 V  VG:-1.0→1.0 (step 0.2)  #13,raw_data/Serbian_Graphene/IVg2025-09-09_13.csv,13,1757445828.254803,Serbian_Graphene
16,2025-09-09,16:36:15,IVg,IVg Alisson2  VDS=0.075 V  VG:-1.0→1.0 (step 0.2)  #14,raw_data/Serbian_Graphene/IVg2025-09-09_14.csv,14,1757446575.7866263,Serbian_Graphene
