seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder
1,2025-09-08,13:14:47,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #13,raw_data/Alisson_08_sept/IVg2025-09-08_13.csv,13,1757348087.8589244,Alisson_08_sept
2,2025-10-09,10:30:22,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/Alisson_09_oct/IVg2025-10-09_1.csv,1,1760016622.4350195,Alisson_09_oct
3,2025-10-09,11:59:47,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #2,raw_data/Alisson_09_oct/IVg2025-10-09_2.csv,2,1760021987.310834,Alisson_09_oct
4,2025-10-09,12:03:01,It,It  Alisson80  VG=-0.2 V  VDS=0.1 V  VL=1.33 V  λ=455.0 nm  period=120.0 s  #1,raw_data/Alisson_09_oct/It2025-10-09_1.csv,1,1760022181.8421116,Alisson_09_oct
5,2025-10-09,12:17:06,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #3,raw_data/Alisson_09_oct/IVg2025-10-09_3.csv,3,1760023026.8876002,Alisson_09_oct
6,2025-10-09,12:18:22,It,It  Alisson80  VG=-0.2 V  VDS=0.1 V  VL=2.84 V  λ=405.0 nm  period=120.0 s  #2,raw_data/Alisson_09_oct/It2025-10-09_2.csv,2,1760023102.3342917,Alisson_09_oct
7,2025-10-09,12:22:01,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #4,raw_data/Alisson_09_oct/IVg2025-10-09_4.csv,4,1760023321.0601292,Alisson_09_oct
8,2025-10-09,12:23:28,It,It  Alisson80  VG=-0.2 V  VDS=0.1 V  VL=2.84 V  λ=405.0 nm  period=240.0 s  #3,raw_data/Alisson_09_oct/It2025-10-09_3.csv,3,1760023408.702325,Alisson_09_oct
9,2025-10-09,12:30:03,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #5,raw_data/Alisson_09_oct/IVg2025-10-09_5.csv,5,1760023803.4234874,Alisson_09_oct
10,2025-10-09,12:31:30,It,It  Alisson80  VG=-0.2 V  VDS=0.1 V  VL=2.84 V  λ=405.0 nm  period=360.0 s  #4,raw_data/Alisson_09_oct/It2025-10-09_4.csv,4,1760023890.8492656,Alisson_09_oct
11,2025-10-09,12:42:01,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #6,raw_data/Alisson_09_oct/IVg2025-10-09_6.csv,6,1760024521.2595136,Alisson_09_oct
12,2025-10-09,12:49:30,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #7,raw_data/Alisson_09_oct/IVg2025-10-09_7.csv,7,1760024970.253218,Alisson_09_oct
13,2025-10-09,12:50:46,It,It  Alisson80  VG=-0.2 V  VDS=0.1 V  VL=2.09 V  λ=385.0 nm  period=120.0 s  #5,raw_data/Alisson_09_oct/It2025-10-09_5.csv,5,1760025046.1002877,Alisson_09_oct
14,2025-10-09,12:55:33,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #8,raw_data/Alisson_09_oct/IVg2025-10-09_8.csv,8,1760025333.2445974,Alisson_09_oct
15,2025-10-09,12:57:46,It,It  Alisson80  VG=-0.6 V  VDS=0.1 V  VL=2.09 V  λ=385.0 nm  period=240.0 s  #6,raw_data/Alisson_09_oct/It2025-10-09_6.csv,6,1760025466.0202382,Alisson_09_oct
16,2025-10-09,13:05:09,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #9,raw_data/Alisson_09_oct/IVg2025-10-09_9.csv,9,1760025909.7646823,Alisson_09_oct
17,2025-10-09,13:07:43,It,It  Alisson80  VG=-0.6 V  VDS=0.1 V  VL=2.09 V  λ=385.0 nm  period=120.0 s  #7,raw_data/Alisson_09_oct/It2025-10-09_7.csv,7,1760026063.7555695,Alisson_09_oct
18,2025-10-09,13:12:29,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #10,raw_data/Alisson_09_oct/IVg2025-10-09_10.csv,10,1760026349.3736584,Alisson_09_oct
19,2025-10-09,13:14:02,It,It  Alisson80  VG=-0.6 V  VDS=0.1 V  VL=2.09 V  λ=385.0 nm  period=360.0 s  #8,raw_data/Alisson_09_oct/It2025-10-09_8.csv,8,1760026442.8040702,Alisson_09_oct
20,2025-10-09,13:23:20,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #11,raw_data/Alisson_09_oct/IVg2025-10-09_11.csv,11,1760027000.358152,Alisson_09_oct
21,2025-10-09,13:29:55,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #12,raw_data/Alisson_09_oct/IVg2025-10-09_12.csv,12,1760027395.1328907,Alisson_09_oct
22,2025-10-09,13:31:35,It,It  Alisson80  VG=-0.8 V  VDS=0.1 V  VL=4.67 V  λ=365.0 nm  period=120.0 s  #9,raw_data/Alisson_09_oct/It2025-10-09_9.csv,9,1760027495.2615764,Alisson_09_oct
23,2025-10-09,13:35:11,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #13,raw_data/Alisson_09_oct/IVg2025-10-09_13.csv,13,1760027711.1001246,Alisson_09_oct
24,2025-10-09,13:36:18,It,It  Alisson80  VG=-0.8 V  VDS=0.1 V  VL=4.67 V  λ=365.0 nm  period=240.0 s  #10,raw_data/Alisson_09_oct/It2025-10-09_10.csv,10,1760027778.9466732,Alisson_09_oct
25,2025-10-09,13:43:34,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #14,raw_data/Alisson_09_oct/IVg2025-10-09_14.csv,14,1760028214.4374394,Alisson_09_oct
26,2025-10-09,13:44:47,It,It  Alisson80  VG=-0.8 V  VDS=0.1 V  VL=4.67 V  λ=365.0 nm  period=360.0 s  #11,raw_data/Alisson_09_oct/It2025-10-09_11.csv,11,1760028287.350687,Alisson_09_oct
27,2025-10-09,13:55:06,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #15,raw_data/Alisson_09_oct/IVg2025-10-09_15.csv,15,1760028906.9681118,Alisson_09_oct
28,2025-10-09,17:06:24,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #16,raw_data/Alisson_09_oct/IVg2025-10-09_16.csv,16,1760040384.1900086,Alisson_09_oct
29,2025-10-10,13:26:40,IVg,IVg Alisson80  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #1,raw_data/2025-10-10/IVg2025-10-10_1.csv,1,1760113600.6766257,2025-10-10
