seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder
27,2025-09-23,11:05:44,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #8,raw_data/Alisson_23_sept/IVg2025-09-23_8.csv,8,1758636344.2496617,Alisson_23_sept
28,2025-09-23,11:09:33,It,💡 It  Alisson72  VG=-2.62 V  VDS=0.1 V  VL=1.7 V  λ=505.0 nm  period=120.0 s  #13,raw_data/Alisson_23_sept/It2025-09-23_13.csv,13,1758636573.0749269,Alisson_23_sept
29,2025-09-23,11:13:05,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #9,raw_data/Alisson_23_sept/IVg2025-09-23_9.csv,9,1758636785.8015227,Alisson_23_sept
30,2025-09-23,11:17:06,It,💡 It  Alisson72  VG=-2.68 V  VDS=0.1 V  VL=1.31 V  λ=455.0 nm  period=120.0 s  #14,raw_data/Alisson_23_sept/It2025-09-23_14.csv,14,1758637026.6893125,Alisson_23_sept
31,2025-09-23,11:20:25,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #10,raw_data/Alisson_23_sept/IVg2025-09-23_10.csv,10,1758637225.5248919,Alisson_23_sept
32,2025-09-23,11:24:15,It,💡 It  Alisson72  VG=-2.68 V  VDS=0.1 V  VL=3.12 V  λ=405.0 nm  period=120.0 s  #15,raw_data/Alisson_23_sept/It2025-09-23_15.csv,15,1758637455.5872724,Alisson_23_sept
33,2025-09-23,11:28:00,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #11,raw_data/Alisson_23_sept/IVg2025-09-23_11.csv,11,1758637680.3593848,Alisson_23_sept
34,2025-09-23,11:31:35,It,💡 It  Alisson72  VG=-2.68 V  VDS=0.1 V  VL=2.11 V  λ=385.0 nm  period=120.0 s  #16,raw_data/Alisson_23_sept/It2025-09-23_16.csv,16,1758637895.2135174,Alisson_23_sept
35,2025-09-23,11:35:34,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #12,raw_data/Alisson_23_sept/IVg2025-09-23_12.csv,12,1758638134.4927194,Alisson_23_sept
36,2025-09-23,11:39:30,It,💡 It  Alisson72  VG=-2.8 V  VDS=0.1 V  VL=4.53 V  λ=365.0 nm  period=120.0 s  #17,raw_data/Alisson_23_sept/It2025-09-23_17.csv,17,1758638370.5704868,Alisson_23_sept
37,2025-09-23,11:42:41,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #13,raw_data/Alisson_23_sept/IVg2025-09-23_13.csv,13,1758638561.9401402,Alisson_23_sept
38,2025-09-23,11:44:13,It,💡 It  Alisson72  VG=0.75 V  VDS=0.1 V  VL=4.53 V  λ=365.0 nm  period=120.0 s  #20,raw_data/Alisson_23_sept/It2025-09-23_20.csv,20,1758638653.480549,Alisson_23_sept
39,2025-09-23,11:47:19,It,💡 It  Alisson72  VG=1.15 V  VDS=0.1 V  VL=4.53 V  λ=365.0 nm  period=120.0 s  #21,raw_data/Alisson_23_sept/It2025-09-23_21.csv,21,1758638839.2243443,Alisson_23_sept
40,2025-09-23,11:50:25,It,💡 It  Alisson72  VG=3.15 V  VDS=0.1 V  VL=4.53 V  λ=365.0 nm  period=120.0 s  #22,raw_data/Alisson_23_sept/It2025-09-23_22.csv,22,1758639025.325793,Alisson_23_sept
41,2025-09-23,11:53:38,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #14,raw_data/Alisson_23_sept/IVg2025-09-23_14.csv,14,1758639218.4206645,Alisson_23_sept
42,2025-09-23,12:16:55,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #15,raw_data/Alisson_23_sept/IVg2025-09-23_15.csv,15,1758640615.9293547,Alisson_23_sept
43,2025-09-23,12:23:05,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #16,raw_data/Alisson_23_sept/IVg2025-09-23_16.csv,16,1758640985.930548,Alisson_23_sept
44,2025-09-23,12:26:16,It,💡 It  Alisson72  VG=-3.0 V  VDS=0.1 V  VL=0.88 V  λ=365.0 nm  period=120.0 s  #23,raw_data/Alisson_23_sept/It2025-09-23_23.csv,23,1758641176.0489867,Alisson_23_sept
45,2025-09-23,12:29:17,It,💡 It  Alisson72  VG=-3.0 V  VDS=0.1 V  VL=1.79 V  λ=365.0 nm  period=120.0 s  #24,raw_data/Alisson_23_sept/It2025-09-23_24.csv,24,1758641357.7241628,Alisson_23_sept
46,2025-09-23,12:40:21,It,💡 It  Alisson72  VG=-3.0 V  VDS=0.1 V  VL=2.78 V  λ=365.0 nm  period=120.0 s  #25,raw_data/Alisson_23_sept/It2025-09-23_25.csv,25,1758642021.5992167,Alisson_23_sept
47,2025-09-23,12:43:21,It,💡 It  Alisson72  VG=-3.0 V  VDS=0.1 V  VL=3.81 V  λ=365.0 nm  period=120.0 s  #26,raw_data/Alisson_23_sept/It2025-09-23_26.csv,26,1758642201.7585938,Alisson_23_sept
48,2025-09-23,12:46:21,It,💡 It  Alisson72  VG=-3.0 V  VDS=0.1 V  VL=4.89 V  λ=365.0 nm  period=120.0 s  #27,raw_data/Alisson_23_sept/It2025-09-23_27.csv,27,1758642381.9670985,Alisson_23_sept
49,2025-09-23,13:13:35,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #17,raw_data/Alisson_23_sept/IVg2025-09-23_17.csv,17,1758644015.942695,Alisson_23_sept
50,2025-09-23,13:15:10,It,💡 It  Alisson72  VG=3.0 V  VDS=0.1 V  VL=0.88 V  λ=365.0 nm  period=120.0 s  #28,raw_data/Alisson_23_sept/It2025-09-23_28.csv,28,1758644110.8948119,Alisson_23_sept
51,2025-09-23,13:18:12,It,💡 It  Alisson72  VG=3.0 V  VDS=0.1 V  VL=1.79 V  λ=365.0 nm  period=120.0 s  #29,raw_data/Alisson_23_sept/It2025-09-23_29.csv,29,1758644292.5491433,Alisson_23_sept
52,2025-09-23,13:21:12,It,💡 It  Alisson72  VG=3.0 V  VDS=0.1 V  VL=2.78 V  λ=365.0 nm  period=120.0 s  #30,raw_data/Alisson_23_sept/It2025-09-23_30.csv,30,1758644472.7474208,Alisson_23_sept
53,2025-09-23,13:24:12,It,💡 It  Alisson72  VG=3.0 V  VDS=0.1 V  VL=3.81 V  λ=365.0 nm  period=120.0 s  #31,raw_data/Alisson_23_sept/It2025-09-23_31.csv,31,1758644652.961474,Alisson_23_sept
54,2025-09-23,13:27:13,It,💡 It  Alisson72  VG=3.0 V  VDS=0.1 V  VL=4.89 V  λ=365.0 nm  period=120.0 s  #32,raw_data/Alisson_23_sept/It2025-09-23_32.csv,32,1758644833.1371498,Alisson_23_sept
55,2025-09-23,13:30:27,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #18,raw_data/Alisson_23_sept/IVg2025-09-23_18.csv,18,1758645027.4332147,Alisson_23_sept
56,2025-09-23,14:10:58,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #19,raw_data/Alisson_23_sept/IVg2025-09-23_19.csv,19,1758647458.8890622,Alisson_23_sept
57,2025-09-23,14:17:06,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #20,raw_data/Alisson_23_sept/IVg2025-09-23_20.csv,20,1758647826.2767909,Alisson_23_sept
58,2025-09-23,15:23:28,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #21,raw_data/Alisson_23_sept/IVg2025-09-23_21.csv,21,1758651808.5129638,Alisson_23_sept
59,2025-09-23,15:27:09,It,💡 It  Alisson72  VG=-0.3 V  VDS=0.1 V  VL=0.88 V  λ=365.0 nm  period=120.0 s  #33,raw_data/Alisson_23_sept/It2025-09-23_33.csv,33,1758652029.264806,Alisson_23_sept
60,2025-09-23,15:30:09,It,💡 It  Alisson72  VG=0.3 V  VDS=0.1 V  VL=0.88 V  λ=365.0 nm  period=120.0 s  #34,raw_data/Alisson_23_sept/It2025-09-23_34.csv,34,1758652209.5461047,Alisson_23_sept
61,2025-09-23,15:33:20,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #22,raw_data/Alisson_23_sept/IVg2025-09-23_22.csv,22,1758652400.8353274,Alisson_23_sept
62,2025-09-23,15:48:42,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #23,raw_data/Alisson_23_sept/IVg2025-09-23_23.csv,23,1758653322.348484,Alisson_23_sept
63,2025-09-23,15:56:51,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #24,raw_data/Alisson_23_sept/IVg2025-09-23_24.csv,24,1758653811.2688138,Alisson_23_sept
