Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,has_light,source_file,start_time,time_hms,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step
0.001,1.0,0.0,Alisson,81.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_1.csv,1758812027.0138147,11:53:47,,,,,,,,,,,
0.001,1.0,0.0,Alisson,81.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_10.csv,1758821445.2906158,14:30:45,,,,,,,,,,,
0.001,1.0,300.0,Alisson,81.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_11.csv,1758821588.9200451,14:33:08,,,,,,,,,,,
0.001,1.0,300.0,Alisson,81.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_12.csv,1758821949.8875024,14:39:09,,,,,,,,,,,
0.001,1.0,300.0,Alisson,81.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_13.csv,1758822310.872483,14:45:10,,,,,,,,,,,
0.001,1.0,300.0,Alisson,81.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_14.csv,1758822671.5878427,14:51:11,,,,,,,,,,,
0.001,1.0,300.0,Alisson,81.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_15.csv,1758823032.4767876,14:57:12,,,,,,,,,,,
0.001,1.0,300.0,Alisson,81.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_16.csv,1758824330.8400536,15:18:50,,,,,,,,,,,
0.001,1.0,300.0,Alisson,81.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_17.csv,1758824580.8441553,15:23:00,,,,,,,,,,,
0.001,1.0,300.0,Alisson,81.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/Alisson_25_sept/IVg2025-09-25_18.csv,1758824798.9321656,15:26:38,,,,,,,,,,,
