Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,has_light,source_file,start_time,time_hms
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/2025-10-10/IVg2025-10-10_1.csv,1760113600.6766257,13:26:40
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/2025-10-10/IVg2025-10-10_2.csv,1760113729.115907,13:28:49
0.001,1.0,300.0,Alisson,81.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/2025-10-10/IVg2025-10-10_3.csv,1760113895.6993349,13:31:35
0.001,1.0,300.0,Alisson,80.0,monitoring,0.0,0.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,false,raw_data/2025-10-10/IVg2025-10-10_4.csv,1760114238.311029,13:37:18
