Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,source_file,start_time,time_hms,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-18/IVg2025-10-18_1.csv,1760826354.653674,19:25:54,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-18/IVg2025-10-18_2.csv,1760826991.3370972,19:36:31,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-18/IVg2025-10-18_3.csv,1760827725.1576314,19:48:45,,,,,,
0.0001,1.0,,Alisson,67.0,Light testing - hbn,3.34,365.0,2.2.0,other,,0.1,,,,true,raw_data/2025-10-18/It2025-10-18_1.csv,1760826486.8164375,19:28:06,120.0,0.0,120.0,0.0,25.0,-0.4
