Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,has_light,source_file,start_time,time_hms,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step
0.001,1.0,,Alisson,68.0,Light testing,0.89,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_16.csv,1758564469.6931489,15:07:49,120.0,0.0,240.0,0.0,25.0,1.16,,,,,
0.001,1.0,,Alisson,68.0,Light testing,2.77,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_17.csv,1758564829.9300816,15:13:49,120.0,0.0,240.0,0.0,25.0,1.16,,,,,
0.001,1.0,,Alisson,68.0,Light testing,4.76,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_18.csv,1758565190.2194169,15:19:50,120.0,0.0,240.0,0.0,25.0,1.16,,,,,
0.001,1.0,,Alisson,72.0,Light testing,1.33,850.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_19.csv,1758572083.7175047,17:14:43,120.0,0.0,120.0,0.0,25.0,-5.12,,,,,
0.001,1.0,,Alisson,68.0,Light testing,2.77,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_2.csv,1758553089.590393,11:58:09,120.0,0.0,240.0,0.0,25.0,-5.46,,,,,
0.001,1.0,,Alisson,72.0,Light testing,2.64,850.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_20.csv,1758572272.0956964,17:17:52,120.0,0.0,120.0,0.0,25.0,-5.12,,,,,
0.001,1.0,,Alisson,72.0,Light testing,3.98,850.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_21.csv,1758572460.6696181,17:21:00,120.0,0.0,120.0,0.0,25.0,-5.12,,,,,
0.001,1.0,,Alisson,68.0,Light testing,4.76,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_3.csv,1758553449.777962,12:04:09,120.0,0.0,240.0,0.0,25.0,-5.46,,,,,
0.001,1.0,,Alisson,68.0,Light testing,0.89,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_4.csv,1758553810.0310464,12:10:10,120.0,0.0,240.0,0.0,25.0,-5.46,,,,,
0.001,1.0,,Alisson,68.0,Light testing,2.77,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_5.csv,1758554170.2701118,12:16:10,120.0,0.0,240.0,0.0,25.0,-5.46,,,,,
0.001,1.0,,Alisson,68.0,Light testing,4.76,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_6.csv,1758554530.500497,12:22:10,120.0,0.0,240.0,0.0,25.0,-5.46,,,,,
0.001,1.0,,Alisson,68.0,Light testing,0.89,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_7.csv,1758555569.4987633,12:39:29,120.0,0.0,240.0,0.0,25.0,-5.46,,,,,
0.001,1.0,,Alisson,68.0,Light testing,2.77,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_8.csv,1758556127.2902062,12:48:47,120.0,0.0,240.0,0.0,25.0,-5.46,,,,,
0.001,1.0,,Alisson,68.0,Light testing,4.76,365.0,2.2.0,other,,0.1,,,,true,true,raw_data/Alisson_22_sept/It2025-09-22_9.csv,1758556487.4922931,12:54:47,120.0,0.0,240.0,0.0,25.0,-5.46,,,,,
,,,,,365,,365.0,1.1.1,,2.0,,,,,,true,raw_data/Alisson_22_sept/LaserCalibration2025-09-22_1.csv,1758551710.681514,11:35:10,,,,,,,2.0,F1 (M92L02),5.0,0.0,0.1
,,,,,None,,850.0,1.1.1,,2.0,,,,,,true,raw_data/Alisson_22_sept/LaserCalibration2025-09-22_2.csv,1758571560.5293427,17:06:00,,,,,,,2.0,F1 (M92L02),5.0,0.0,0.1
