#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 1e-06 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 1
#	Information: Scratch - Source
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 2 V
#	VSD start: -2 V
#	VSD step: 0.05 V
#Metadata:
#	Start time: 1757446110.4034371
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
1.8005,7.565115e-10,nan,nan,nan
1.8505,-4.799026e-10,nan,nan,nan
1.9005,-2.094255e-10,nan,nan,nan
1.9505000000000001,-6.398705e-10,nan,nan,nan
2.0,1.240777e-09,nan,nan,nan
1.95,6.886884e-10,nan,nan,nan
1.9,7.301048e-10,nan,nan,nan
1.8499999999999999,-6.88254e-10,nan,nan,nan
1.7999999999999998,-5.661563e-10,nan,nan,nan
1.7499999999999998,-1.021046e-09,nan,nan,nan
1.6999999999999997,-7.723543e-10,nan,nan,nan
1.6499999999999997,-2.326041e-10,nan,nan,nan
1.5999999999999996,2.440662e-10,nan,nan,nan
1.5499999999999996,2.859892e-10,nan,nan,nan
1.4999999999999996,1.205125e-09,nan,nan,nan
1.4499999999999995,9.806291e-10,nan,nan,nan
1.3999999999999995,7.033802e-10,nan,nan,nan
1.3499999999999994,1.490751e-10,nan,nan,nan
1.2999999999999994,-4.205007e-10,nan,nan,nan
1.2499999999999993,-8.845105e-10,nan,nan,nan
1.1999999999999993,-1.134089e-09,nan,nan,nan
1.1499999999999992,-5.986447e-10,nan,nan,nan
1.0999999999999992,1.849374e-11,nan,nan,nan
1.0499999999999992,2.405202e-10,nan,nan,nan
0.9999999999999991,2.982941e-11,nan,nan,nan
0.9499999999999991,-5.63054e-10,nan,nan,nan
0.899999999999999,-6.419616e-10,nan,nan,nan
0.849999999999999,-1.256442e-09,nan,nan,nan
0.7999999999999989,-6.917384e-10,nan,nan,nan
0.7499999999999989,-1.888443e-10,nan,nan,nan
0.6999999999999988,2.137962e-10,nan,nan,nan
0.6499999999999988,2.88966e-10,nan,nan,nan
0.5999999999999988,1.229381e-09,nan,nan,nan
0.5499999999999987,8.57205e-10,nan,nan,nan
0.49999999999999867,5.110751e-11,nan,nan,nan
0.4499999999999986,3.027082e-10,nan,nan,nan
0.3999999999999986,-2.872574e-10,nan,nan,nan
0.34999999999999853,-8.399914e-10,nan,nan,nan
0.2999999999999985,-9.86788e-10,nan,nan,nan
0.24999999999999845,-4.8858e-10,nan,nan,nan
0.1999999999999984,7.609474e-10,nan,nan,nan
0.14999999999999836,-4.680616e-10,nan,nan,nan
0.09999999999999831,-1.348249e-10,nan,nan,nan
0.04999999999999827,-1.829548e-10,nan,nan,nan
0.0005,-6.824933e-10,nan,nan,nan
-0.0495,-1.405878e-10,nan,nan,nan
