Irange,NPLC,T step start time,Chip group name,Chip number,Information,Initial (current) T,Laser ON+OFF period,Laser voltage,Laser wavelength,Procedure version,Sample,Sampling time (excluding Keithley),Target T,VDS,VG,Laser toggle,source_file,start_time,time_hms,N_avg,Optical fiber,Step time,Laser voltage end,Laser voltage start,Laser voltage step,Burn-in time,VG end,VG start,VG step,VSD end,VSD start,VSD step
0.001,1.0,120.0,Alisson,75.0,Light testing 565 mn,0.0,120.0,3.38,565.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_12_sept/It2025-09-12_24.csv,1757711184.7291589,18:06:24,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 565 mn,0.0,120.0,4.37,565.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_30.csv,1757712768.310629,18:32:48,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 455 mn,0.0,120.0,2.59,455.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_18.csv,1757707366.517926,17:02:46,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 455 mn,0.0,120.0,3.47,455.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_19.csv,1757707553.5115154,17:05:53,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 565 mn,0.0,120.0,4.37,565.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_12_sept/It2025-09-12_25.csv,1757711371.8256207,18:09:31,,,,,,,,,,,,,
0.001,1.0,,Alisson,75.0,monitoring,,,0.0,455.0,2.1.0,other,,,0.1,,false,raw_data/Alisson_12_sept/IVg2025-09-12_16.csv,1757710544.3641043,17:55:44,,,0.0,,,,0.0,5.0,-5.0,0.05,,,
0.001,1.0,,Alisson,75.0,monitoring,,,0.0,455.0,2.1.0,other,,,0.1,,false,raw_data/Alisson_12_sept/IVg2025-09-12_14.csv,1757708623.9732382,17:23:43,,,0.0,,,,0.0,5.0,-5.0,0.05,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 565 mn,0.0,120.0,1.57,565.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_27.csv,1757712206.3294213,18:23:26,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 565 mn,0.0,120.0,0.78,565.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_26.csv,1757712018.2059524,18:20:18,,,,,,,,,,,,,
0.001,1.0,,Alisson,75.0,monitoring,,,0.0,455.0,2.1.0,other,,,0.1,,false,raw_data/Alisson_12_sept/IVg2025-09-12_15.csv,1757709919.594004,17:45:19,,,0.0,,,,0.0,5.0,-5.0,0.05,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 365 mn,0.0,120.0,2.74,365.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_8.csv,1757701987.8982081,15:33:07,,,,,,,,,,,,,
0.001,1.0,,Alisson,75.0,monitoring,,,0.0,455.0,2.1.0,other,,,0.1,,false,raw_data/Alisson_12_sept/IVg2025-09-12_11.csv,1757708158.3225882,17:15:58,,,0.0,,,,0.0,5.0,-5.0,0.05,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 565 mn,0.0,120.0,1.57,565.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_12_sept/It2025-09-12_22.csv,1757710810.3828828,18:00:10,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 565 mn,0.0,120.0,2.44,565.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_12_sept/It2025-09-12_23.csv,1757710997.6688619,18:03:17,,,,,,,,,,,,,
0.0001,1.0,,other,71.0,test 71 muerto :(,,,0.0,0.0,2.0.1,other,,,,0.0,false,raw_data/Alisson_12_sept/IV2025-09-12_1.csv,1757686798.9217222,11:19:58,,,0.0,,,,600.0,,,,1.0,-1.0,0.01
0.001,1.0,,Alisson,75.0,monitoring,,,0.0,455.0,2.1.0,other,,,0.1,,false,raw_data/Alisson_12_sept/IVg2025-09-12_10.csv,1757706923.9873612,16:55:23,,,0.0,,,,0.0,5.0,-5.0,0.05,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 365 mn,0.0,120.0,3.71,365.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_9.csv,1757702174.9235747,15:36:14,,,,,,,,,,,,,
0.001,1.0,,Alisson,75.0,monitoring,,,4.42,455.0,2.1.0,other,,,0.1,,true,raw_data/Alisson_12_sept/IVg2025-09-12_12.csv,1757708477.9818351,17:21:17,,,0.0,,,,0.0,5.0,-5.0,0.05,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 565 mn,0.0,120.0,0.78,565.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_12_sept/It2025-09-12_21.csv,1757710622.8305151,17:57:02,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 455 mn,0.0,120.0,4.42,455.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_20.csv,1757707741.0330703,17:09:01,,,,,,,,,,,,,
0.0001,1.0,,other,71.0,test 71 muerto :(,,,0.0,0.0,2.0.1,other,,,,0.0,false,raw_data/Alisson_12_sept/IV2025-09-12_2.csv,1757686834.374426,11:20:34,,,0.0,,,,600.0,,,,1.0,-1.0,0.01
0.001,1.0,,Alisson,75.0,monitoring,,,0.0,455.0,2.1.0,other,,,0.1,,false,raw_data/Alisson_12_sept/IVg2025-09-12_13.csv,1757708534.8767354,17:22:14,,,0.0,,,,0.0,5.0,-5.0,0.05,,,
