#Procedure: <laser_setup.procedures.IV.IV>
#Parameters:
#	Irange: 0.0001 A
#	NPLC: 1
#	Burn-in time: 600 s
#	Chip group name: other
#	Chip number: 71
#	Information: test 71 muerto :(
#	Laser voltage: 0 V
#	Laser wavelength: 0
#	Procedure version: 2.0.1
#	Sample: other
#	Step time: 0 s
#	VG: 0 V
#	VSD end: 1 V
#	VSD start: -1 V
#	VSD step: 0.01 V
#Metadata:
#	Start time: 1757686834.374426
#Data:
Vsd (V),I (A),Plate T (degC),Ambient T (degC),Clock (ms)
-0.7999999999999998,7.806547e-10,nan,nan,nan
-0.7899999999999998,7.979392e-10,nan,nan,nan
-0.7799999999999998,5.617115e-10,nan,nan,nan
-0.7699999999999998,8.61316e-10,nan,nan,nan
-0.7599999999999998,7.921768e-10,nan,nan,nan
-0.7499999999999998,8.440328e-10,nan,nan,nan
-0.7399999999999998,8.209864e-10,nan,nan,nan
-0.7299999999999998,8.958865e-10,nan,nan,nan
-0.7199999999999998,7.979387e-10,nan,nan,nan
-0.7099999999999997,8.036992e-10,nan,nan,nan
-0.6999999999999997,8.670782e-10,nan,nan,nan
-0.6899999999999997,9.246971e-10,nan,nan,nan
-0.6799999999999997,8.325085e-10,nan,nan,nan
-0.6699999999999997,8.094616e-10,nan,nan,nan
-0.6599999999999997,8.670784e-10,nan,nan,nan
-0.6499999999999997,9.13174e-10,nan,nan,nan
-0.6399999999999997,8.497959e-10,nan,nan,nan
-0.6299999999999997,7.979405e-10,nan,nan,nan
-0.6199999999999997,5.386646e-10,nan,nan,nan
-0.6099999999999997,1.034169e-09,nan,nan,nan
-0.5999999999999996,8.267483e-10,nan,nan,nan
-0.5899999999999996,8.670802e-10,nan,nan,nan
-0.5799999999999996,8.728415e-10,nan,nan,nan
-0.5699999999999996,9.880742e-10,nan,nan,nan
-0.5599999999999996,8.497933e-10,nan,nan,nan
-0.5499999999999996,8.901244e-10,nan,nan,nan
-0.5399999999999996,3.370046e-10,nan,nan,nan
-0.5299999999999996,9.650259e-10,nan,nan,nan
-0.5199999999999996,8.440324e-10,nan,nan,nan
-0.5099999999999996,8.958884e-10,nan,nan,nan
-0.49999999999999956,1.247351e-09,nan,nan,nan
-0.48999999999999955,6.193268e-10,nan,nan,nan
-0.47999999999999954,9.24695e-10,nan,nan,nan
-0.46999999999999953,8.382709e-10,nan,nan,nan
-0.4599999999999995,8.094622e-10,nan,nan,nan
-0.4499999999999995,1.103308e-09,nan,nan,nan
-0.4399999999999995,9.362203e-10,nan,nan,nan
-0.4299999999999995,8.497928e-10,nan,nan,nan
-0.4199999999999995,8.267468e-10,nan,nan,nan
-0.4099999999999995,6.423742e-10,nan,nan,nan
-0.39999999999999947,9.535045e-10,nan,nan,nan
-0.38999999999999946,8.728421e-10,nan,nan,nan
-0.37999999999999945,9.246968e-10,nan,nan,nan
-0.36999999999999944,1.178209e-09,nan,nan,nan
-0.35999999999999943,9.765503e-10,nan,nan,nan
-0.3499999999999994,8.786006e-10,nan,nan,nan
-0.3399999999999994,8.613171e-10,nan,nan,nan
-0.3299999999999994,9.419817e-10,nan,nan,nan
-0.3199999999999994,9.074103e-10,nan,nan,nan
-0.3099999999999994,8.613182e-10,nan,nan,nan
-0.2999999999999994,9.304553e-10,nan,nan,nan
-0.28999999999999937,5.559482e-10,nan,nan,nan
-0.27999999999999936,1.01688e-09,nan,nan,nan
-0.26999999999999935,8.613165e-10,nan,nan,nan
-0.25999999999999934,6.25088e-10,nan,nan,nan
-0.24999999999999933,1.351058e-09,nan,nan,nan
-0.23999999999999932,9.938349e-10,nan,nan,nan
-0.22999999999999932,8.728398e-10,nan,nan,nan
-0.2199999999999993,9.131711e-10,nan,nan,nan
-0.2099999999999993,8.613168e-10,nan,nan,nan
-0.1999999999999993,1.03993e-09,nan,nan,nan
-0.18999999999999928,9.016488e-10,nan,nan,nan
-0.17999999999999927,9.189324e-10,nan,nan,nan
-0.16999999999999926,9.707884e-10,nan,nan,nan
-0.15999999999999925,9.477416e-10,nan,nan,nan
-0.14999999999999925,8.152237e-10,nan,nan,nan
-0.13999999999999924,7.864147e-10,nan,nan,nan
-0.12999999999999923,1.235824e-09,nan,nan,nan
-0.11999999999999922,9.477418e-10,nan,nan,nan
-0.10999999999999921,1.039928e-09,nan,nan,nan
-0.0999999999999992,9.246949e-10,nan,nan,nan
-0.08999999999999919,1.32225e-09,nan,nan,nan
-0.07999999999999918,9.30457e-10,nan,nan,nan
-0.06999999999999917,9.650264e-10,nan,nan,nan
-0.059999999999999165,8.555527e-10,nan,nan,nan
-0.049999999999999156,1.345295e-09,nan,nan,nan
-0.03999999999999915,7.0575e-10,nan,nan,nan
-0.02999999999999914,9.074087e-10,nan,nan,nan
-0.01999999999999913,8.613154e-10,nan,nan,nan
-0.00999999999999912,9.016484e-10,nan,nan,nan
-0.0005,1.028404e-09,nan,nan,nan
0.0005,9.650262e-10,nan,nan,nan
0.0105,1.022642e-09,nan,nan,nan
0.0205,1.109068e-09,nan,nan,nan
0.0305,9.59265e-10,nan,nan,nan
0.0405,9.016466e-10,nan,nan,nan
0.0505,8.152201e-10,nan,nan,nan
0.0605,9.477413e-10,nan,nan,nan
0.07050000000000001,9.016474e-10,nan,nan,nan
0.0805,9.995956e-10,nan,nan,nan
0.0905,7.86414e-10,nan,nan,nan
0.1005,5.501848e-10,nan,nan,nan
0.1105,1.022642e-09,nan,nan,nan
0.1205,9.995952e-10,nan,nan,nan
0.1305,9.823103e-10,nan,nan,nan
0.1405,9.535021e-10,nan,nan,nan
0.1505,1.189732e-09,nan,nan,nan
0.1605,9.707882e-10,nan,nan,nan
0.1705,9.189334e-10,nan,nan,nan
0.1805,9.189324e-10,nan,nan,nan
0.1905,1.178208e-09,nan,nan,nan
0.2005,9.707869e-10,nan,nan,nan
0.2105,8.843624e-10,nan,nan,nan
0.2205,9.362168e-10,nan,nan,nan
0.2305,7.172741e-10,nan,nan,nan
0.2405,9.880726e-10,nan,nan,nan
0.2505,9.823106e-10,nan,nan,nan
0.2605,9.18932e-10,nan,nan,nan
0.2705,1.132115e-09,nan,nan,nan
0.2805,9.477402e-10,nan,nan,nan
0.2905,9.246931e-10,nan,nan,nan
0.3005,9.189318e-10,nan,nan,nan
0.3105,1.195492e-09,nan,nan,nan
0.3205,9.823106e-10,nan,nan,nan
0.3305,8.670769e-10,nan,nan,nan
0.3405,8.901222e-10,nan,nan,nan
0.35050000000000003,1.183968e-09,nan,nan,nan
0.3605,9.592632e-10,nan,nan,nan
0.3705,9.82311e-10,nan,nan,nan
0.3805,9.36218e-10,nan,nan,nan
0.3905,6.020408e-10,nan,nan,nan
0.4005,9.938333e-10,nan,nan,nan
0.41050000000000003,9.189307e-10,nan,nan,nan
0.4205,9.650253e-10,nan,nan,nan
0.4305,1.270392e-09,nan,nan,nan
0.4405,9.534989e-10,nan,nan,nan
0.4505,9.650235e-10,nan,nan,nan
0.4605,8.670752e-10,nan,nan,nan
0.47050000000000003,9.30452e-10,nan,nan,nan
0.4805,9.535005e-10,nan,nan,nan
0.4905,9.880704e-10,nan,nan,nan
