Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Laser toggle,source_file,start_time,time_hms,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-19/IVg2025-10-19_1.csv,1760893384.4735203,14:03:04,,,,,,
0.001,1.0,60.0,Alisson,67.0,monitoring,0.0,455.0,2.1.0,other,0.0,0.1,5.0,-5.0,0.05,false,raw_data/2025-10-19/IVg2025-10-19_2.csv,1760910185.4952238,18:43:05,,,,,,
0.0001,1.0,,Alisson,67.0,Light testing - hbn,4.6,365.0,2.2.0,other,,0.1,,,,true,raw_data/2025-10-19/It2025-10-19_1.csv,1760893468.807531,14:04:28,120.0,0.0,120.0,0.0,25.0,-0.4
0.0001,1.0,,Alisson,67.0,Light testing - hbn,4.6,365.0,2.2.0,other,,0.1,,,,true,raw_data/2025-10-19/It2025-10-19_2.csv,1760910260.3697693,18:44:20,120.0,0.0,120.0,0.0,25.0,-0.4
