procedure_full,proc,start_time,start_dt,source_file,file_idx,Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VG,VSD end,VSD start,VSD step,Start time,VDS,VG end,VG start,VG step,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step,Sensor model
laser_setup.procedures.It.It,It,1757711184.7291589,2025-09-12T18:06:24.729159,It2025-09-12_24.csv,24,0.001 A,1,,Alisson,75,Light testing 565 mn,3.38 V,565,2.2.0,other,,-3 V,,,,1757711184.7291589,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757711371.8256207,2025-09-12T18:09:31.825621,It2025-09-12_25.csv,25,0.001 A,1,,Alisson,75,Light testing 565 mn,4.37 V,565,2.2.0,other,,-3 V,,,,1757711371.8256207,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757711957.181738,2025-09-12T18:19:17.181738,IVg2025-09-12_17.csv,17,0.001 A,1,0 s,Alisson,75,monitoring,0 V,455,2.1.0,other,0 s,,,,,1757711957.181738,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.It.It,It,1757712018.2059524,2025-09-12T18:20:18.205952,It2025-09-12_26.csv,26,0.001 A,1,,Alisson,75,Light testing 565 mn,0.78 V,565,2.2.0,other,,3 V,,,,1757712018.2059524,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757712206.3294213,2025-09-12T18:23:26.329421,It2025-09-12_27.csv,27,0.001 A,1,,Alisson,75,Light testing 565 mn,1.57 V,565,2.2.0,other,,3 V,,,,1757712206.3294213,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757712394.090555,2025-09-12T18:26:34.090555,It2025-09-12_28.csv,28,0.001 A,1,,Alisson,75,Light testing 565 mn,2.44 V,565,2.2.0,other,,3 V,,,,1757712394.090555,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757712581.1068664,2025-09-12T18:29:41.106866,It2025-09-12_29.csv,29,0.001 A,1,,Alisson,75,Light testing 565 mn,3.38 V,565,2.2.0,other,,3 V,,,,1757712581.1068664,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757712768.310629,2025-09-12T18:32:48.310629,It2025-09-12_30.csv,30,0.001 A,1,,Alisson,75,Light testing 565 mn,4.37 V,565,2.2.0,other,,3 V,,,,1757712768.310629,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757712978.6201,2025-09-12T18:36:18.620100,IVg2025-09-12_18.csv,18,0.001 A,1,0 s,Alisson,75,monitoring,0 V,455,2.1.0,other,0 s,,,,,1757712978.6201,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757713071.4163065,2025-09-12T18:37:51.416306,IVg2025-09-12_19.csv,19,0.001 A,1,0 s,Alisson,75,monitoring,4.37 V,565,2.1.0,other,0 s,,,,,1757713071.4163065,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757713128.468729,2025-09-12T18:38:48.468729,IVg2025-09-12_20.csv,20,0.001 A,1,0 s,Alisson,75,monitoring,0 V,565,2.1.0,other,0 s,,,,,1757713128.468729,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
,?,1757821434.6062152,2025-09-14T00:43:54.606215,Alisson_12_sept_metadata.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
